id,firstname,department,salary
387,Rivalee,CT_SR_RPT,273000
388,Theodora,POS,54900
389,Carree,OFF_ASS,304000
390,Mureil,SM,24100
391,Kenna,WEB_DSNR,149000
392,Hollie,MKT_MGR,24100
393,Sarette,MKG_CDR,70200
394,Almeta,MED_ASST,60100
395,Sharai,DEC,149000
396,Clo,WEB_DSNR,91200
397,Caressa,SM,37600
398,Jeanna,EXEC_ASST,76700
399,Vonny,EXEC_ASST,116000
400,Julieta,EXEC_ASST,76700
401,Merle,MKT_MGR,46600
402,Rosabelle,POS,69500
403,Roz,ACC_EXEC,225000
404,Malina,WEB_DSNR,46600
405,Carly,MKT_MGR,31500
406,Averyl,DOG_TNR,69500
407,Hope,MED_ASST,197000
408,Brooks,MKG_CDR,46600
409,Maryellen,SM,76700
410,Edyth,SM,31500
411,Helsa,MED_ASST,116000
412,Lyssa,PM,54900
413,Korrie,MED_ASST,37600
414,Mignon,MKT_MGR,70200
415,Zsa Zsa,ADMIN_ASST,70200
416,Meg,LBRN,46600
417,Karena,SM,116000
418,Sean,MED_ASST,197000
419,Katleen,WEB_DSNR,2900
420,Trudie,SWE,24100
421,Liana,ACC_EXEC,69500
422,Netty,PM,37600
423,Ardenia,POS,149000
424,Kore,MED_ASST,60100
425,Leeanne,CT_SR_RPT,304000
426,Heida,CT_SR_RPT,37600
427,Rosene,WEB_DSNR,88100
428,Brandise,LBRN,31500
429,Madalyn,LBRN,70200
430,Dennie,MKT_MGR,70200
431,Katleen,MKT_MGR,46600
432,Tracey,MKT_MGR,60100
433,Ulrike,NUR_PTNR,88100
434,Gwyneth,LBRN,273000
435,Celestyna,NUR_PTNR,88100
436,Blinni,SWE,304000
437,Donnie,WEB_DSNR,149000
438,Alisha,OFF_ASS,54900
439,Larine,WEB_DSNR,225000
440,Danika,SM,60100
441,Elvira,SM,225000
442,Tomasina,EXEC_ASST,76700
443,Deane,PM,88100
444,Lexine,ACC_EXEC,41300
445,Dode,MKT_MGR,31500
446,Korrie,CT_SR_RPT,69500
447,Violet,ADMIN_ASST,70200
448,Deane,SM,24100
449,Tatiania,EXEC_ASST,304000
450,Fanny,SWE,24100
451,Corry,MKG_CDR,91200
452,Esmeralda,LBRN,31500
453,Sherrie,DOG_TNR,37600
454,Calla,EXEC_ASST,91200
455,Cassondra,ACC_EXEC,41300
456,Leeanne,SM,31500
457,Kimberley,LBRN,88100
458,Oralee,POS,225000
459,Roberta,EXEC_ASST,24100
460,Leona,ACC_EXEC,69500
461,Christy,OFF_ASS,60100
462,Farrah,SWE,225000
463,Sean,ACC_EXEC,37600
464,Delilah,EXEC_ASST,31500
465,Elka,WEB_DSNR,70200
466,Corina,DOG_TNR,37600
467,Ethel,SM,60100
468,Romona,SM,31500
469,Cathyleen,CT_SR_RPT,116000
470,Corina,PM,54900
471,Jemie,SWE,60100
472,Flory,CT_SR_RPT,24100
473,Gilligan,MED_ASST,2900
474,Emilia,PM,273000
475,Constance,PM,116000
476,Marinna,PM,149000
477,Angelique,SWE,88100
478,Marsiella,SM,70200
479,Maisey,POS,88100
480,Gloria,POS,54900
481,Adriana,SWE,37600
482,Cissiee,POS,70200
483,Elyssa,DOG_TNR,225000
484,Althea,SM,24100
485,Anestassia,EXEC_ASST,197000
486,Heida,DEC,2900
487,Raf,NUR_PTNR,31500
488,Ardenia,ADMIN_ASST,24100
489,Dorothy,LBRN,41300
490,Raina,SM,197000
491,Valera,WEB_DSNR,88100
492,Gilligan,POS,31500
493,Meriel,DOG_TNR,60100
494,Ann-Marie,POS,116000
495,Suzette,LBRN,149000
496,Christal,CT_SR_RPT,31500
497,Jackie,PM,37600
498,Cacilie,ADMIN_ASST,37600
499,Carolina,ACC_EXEC,273000
500,Maisey,NUR_ASST,116000
501,Marjie,WEB_DSNR,31500
502,Oona,EXEC_ASST,273000
503,Maye,MKG_CDR,2900
504,Maud,CT_SR_RPT,31500
505,Ingrid,MKT_MGR,41300
506,Kimmy,OFF_ASS,54900
507,Chandra,LBRN,273000
508,Aeriela,DEC,76700
509,Daune,ADMIN_ASST,46600
510,Dede,DEC,37600
511,Sabina,DEC,225000
512,Valeda,MKT_MGR,70200
513,Marinna,DEC,41300
514,Calla,DOG_TNR,31500
515,Jorry,ADMIN_ASST,116000
516,Jennica,SWE,273000
517,Corly,NUR_ASST,304000
518,Misha,WEB_DSNR,304000
519,Cristine,NUR_ASST,60100
520,Hollie,SM,225000
521,Sharlene,PM,37600
522,Elena,MKT_MGR,70200
523,Lynde,ACC_EXEC,273000
524,Veda,SM,70200
525,Robinia,OFF_ASS,149000
526,Bernardine,DEC,76700
527,Lanae,ADMIN_ASST,41300
528,Rosabelle,WEB_DSNR,70200
529,Elyssa,MKG_CDR,225000
530,Dawn,CT_SR_RPT,149000
531,Lusa,NUR_PTNR,24100
532,Sue,DOG_TNR,225000
533,Millie,OFF_ASS,149000
534,Raquela,MKG_CDR,149000
535,Karena,WEB_DSNR,149000
536,Orelia,SM,41300
537,Alie,NUR_PTNR,76700
538,Nariko,MED_ASST,304000
539,Jean,OFF_ASS,225000
540,Lita,ACC_EXEC,69500
541,Jasmina,DEC,116000
542,Sandie,MKT_MGR,225000
543,Justinn,LBRN,70200
544,Rivalee,DOG_TNR,54900
545,Vinita,DEC,116000
546,Alyda,MKG_CDR,37600
547,Brietta,CT_SR_RPT,69500
548,Shell,CT_SR_RPT,41300
549,Gusella,NUR_PTNR,76700
550,Flo,MKG_CDR,76700
551,Cherilyn,NUR_ASST,91200
552,Leeanne,LBRN,37600
553,Daphne,MKG_CDR,69500
554,Jenda,DEC,149000
555,Sheelagh,DEC,60100
556,Heddie,NUR_PTNR,41300
557,Briney,PM,225000
558,Deane,NUR_PTNR,273000
559,Diena,ADMIN_ASST,149000
560,Lily,CT_SR_RPT,54900
561,Debee,WEB_DSNR,37600
562,Donetta,PM,304000
563,Rozele,NUR_PTNR,24100
564,Yolane,NUR_ASST,149000
565,Esmeralda,NUR_ASST,2900
566,Kittie,POS,70200
567,Lulita,DOG_TNR,70200
568,Carilyn,OFF_ASS,76700
569,Hannis,PM,76700
570,Renae,ACC_EXEC,46600
571,Annaliese,SWE,24100
572,Karina,MKT_MGR,46600
573,Alejandra,DOG_TNR,70200
574,Sarette,EXEC_ASST,273000
575,Eugine,MED_ASST,24100
576,Hettie,NUR_PTNR,37600
577,Isa,MED_ASST,31500
578,Violet,DEC,70200
579,Lonnie,POS,69500
580,Mahalia,SM,69500
581,Lynea,ACC_EXEC,91200
582,Madalyn,ADMIN_ASST,273000
583,Lulita,EXEC_ASST,2900
584,Nariko,EXEC_ASST,76700
585,Olivette,DEC,41300
586,Christal,SWE,46600
587,Philis,ADMIN_ASST,24100
588,Dari,OFF_ASS,2900
589,Dari,PM,273000
590,Ilse,CT_SR_RPT,46600
591,Marita,CT_SR_RPT,54900
592,Daphne,DEC,60100
593,Inga,POS,76700
594,Kassey,CT_SR_RPT,197000
595,Georgetta,MKG_CDR,60100
596,Tomasina,SM,273000
597,Sharai,MKT_MGR,76700
598,Alie,MKG_CDR,304000
599,Marcelline,MED_ASST,273000
600,Amara,MED_ASST,91200
601,Cindelyn,SWE,24100
602,Sissy,MKT_MGR,197000
603,Nikki,LBRN,41300
604,Amii,OFF_ASS,37600
605,Elmira,SM,149000
606,Jemie,SM,116000
607,Renie,NUR_ASST,88100
608,Madelle,ACC_EXEC,304000
609,Sheree,MKT_MGR,88100
610,Rosaline,NUR_PTNR,46600
611,Dagmar,LBRN,37600
612,Elise,MKG_CDR,88100
613,Chloris,MED_ASST,225000
614,Lynde,ADMIN_ASST,91200
615,Meriel,ACC_EXEC,76700
616,Phedra,ADMIN_ASST,24100
617,Dominga,EXEC_ASST,31500
618,Calla,MKT_MGR,69500
619,Valli,MED_ASST,70200
620,Nessie,DOG_TNR,60100
621,Trixi,CT_SR_RPT,116000
622,Lacie,MED_ASST,304000
623,Camile,POS,54900
624,Teriann,SWE,37600
625,Yetty,MKG_CDR,225000
626,Rosabelle,WEB_DSNR,60100
627,Viviene,WEB_DSNR,91200
628,Hannis,ACC_EXEC,69500
629,Aigneis,MKT_MGR,116000
630,Jinny,NUR_PTNR,197000
631,Kayla,EXEC_ASST,46600
632,Regina,MKT_MGR,304000
633,Nita,NUR_ASST,31500
634,Livvyy,WEB_DSNR,304000
635,Tierney,DEC,88100
636,Cam,MKT_MGR,197000
637,Danika,DOG_TNR,31500
638,Rhoda,PM,2900
639,Louella,LBRN,116000
640,Kalina,PM,197000
641,Helena,DEC,60100
642,Joy,ACC_EXEC,76700
643,Fidelia,PM,41300
644,Emmey,SM,273000
645,Corry,MKG_CDR,24100
646,Laure,DEC,149000
647,Mureil,OFF_ASS,76700
648,Gusty,WEB_DSNR,225000
649,Viviene,OFF_ASS,54900
650,Alex,OFF_ASS,70200
651,Brianna,POS,225000
652,Minne,LBRN,41300
653,Fawne,NUR_ASST,31500
654,Aili,SWE,70200
655,Amara,MKT_MGR,46600
656,Ronna,MKT_MGR,24100
657,Elie,DOG_TNR,37600
658,Renie,SWE,60100
659,Nita,MKT_MGR,60100
660,Eadie,DOG_TNR,60100
661,Therine,DEC,76700
662,Margette,MKG_CDR,37600
663,Alisha,ACC_EXEC,41300
664,Janeczka,SWE,37600
665,Selia,DOG_TNR,24100
666,Claudina,NUR_ASST,2900
667,Adelle,WEB_DSNR,197000
668,Rosaline,PM,273000
669,Brooks,DEC,37600
670,Gilligan,CT_SR_RPT,46600
671,Gale,MKG_CDR,46600
672,Dione,EXEC_ASST,273000
673,Dolli,CT_SR_RPT,37600
674,Kalina,OFF_ASS,54900
675,Fred,DOG_TNR,31500
676,Anallese,ADMIN_ASST,41300
677,Vinita,MED_ASST,304000
678,Maye,NUR_PTNR,76700
679,Nessie,ACC_EXEC,54900
680,Gloria,SM,88100
681,Deedee,CT_SR_RPT,225000
682,Ida,MKT_MGR,31500
683,Minda,EXEC_ASST,225000
684,Margette,EXEC_ASST,70200
685,Quintina,LBRN,197000
686,Belinda,SWE,149000
687,Maud,OFF_ASS,116000
688,Marinna,CT_SR_RPT,54900
689,Abbie,MED_ASST,31500
690,Fina,NUR_ASST,70200
691,Susette,LBRN,149000
692,Regina,OFF_ASS,304000
693,Orsola,MKT_MGR,197000
694,Edyth,SM,46600
695,Corene,EXEC_ASST,69500
696,Michaelina,ACC_EXEC,149000
697,Alyda,MKG_CDR,31500
698,Flo,MED_ASST,197000
699,Hettie,MKG_CDR,273000
700,Shell,PM,46600
701,Mathilda,NUR_PTNR,46600
702,Janenna,CT_SR_RPT,60100
703,Aeriela,ACC_EXEC,76700
704,Aimil,OFF_ASS,88100
705,Mady,ADMIN_ASST,2900
706,Barbara,MED_ASST,273000
707,Agathe,NUR_PTNR,273000
708,June,LBRN,149000
709,Wilma,PM,273000
710,Doralynne,OFF_ASS,37600
711,Dawn,DOG_TNR,69500
712,Kore,NUR_PTNR,91200
713,Melodie,DOG_TNR,69500
714,Clo,WEB_DSNR,197000
715,Claudina,ACC_EXEC,24100
716,Asia,MED_ASST,149000
717,Gloria,NUR_ASST,60100
718,Eve,SWE,88100
719,Debee,PM,76700
720,Amara,MKG_CDR,76700
721,Marylou,NUR_ASST,46600
722,Jenda,WEB_DSNR,54900
723,Vita,OFF_ASS,24100
724,Emma,DEC,69500
725,Felice,WEB_DSNR,37600
726,Kara-Lynn,DOG_TNR,60100
727,Meg,ACC_EXEC,197000
728,Melanie,EXEC_ASST,304000
729,Flo,NUR_PTNR,31500
730,Claresta,EXEC_ASST,31500
731,Celisse,ADMIN_ASST,31500
732,Harmonia,ADMIN_ASST,60100
733,Johna,POS,54900
734,Ursulina,NUR_ASST,41300
735,Annecorinne,POS,76700
736,Rori,LBRN,273000
737,Brianna,OFF_ASS,197000
738,Rebeca,POS,24100
739,Hallie,ADMIN_ASST,60100
740,Lynea,MKG_CDR,37600
741,Ivett,WEB_DSNR,116000
742,Gui,SWE,76700
743,Merle,DEC,70200
744,Perry,OFF_ASS,116000
745,Daune,MKG_CDR,273000
746,Anthia,EXEC_ASST,273000
747,Millie,MKT_MGR,46600
748,Merrie,WEB_DSNR,70200
749,Kassey,MED_ASST,197000
750,Deane,MED_ASST,41300
751,Veda,ADMIN_ASST,116000
752,Miquela,ACC_EXEC,116000
753,Leanna,EXEC_ASST,197000
754,Gertrud,DOG_TNR,149000
755,Ricky,WEB_DSNR,69500
756,Jennica,SM,149000
757,Fred,ACC_EXEC,88100
758,Dorothy,OFF_ASS,91200
759,Katharina,NUR_PTNR,88100
760,Elena,POS,37600
761,Kaja,CT_SR_RPT,54900
762,Aili,MKT_MGR,225000
763,Wilma,PM,91200
764,Bobinette,DEC,76700
765,Ira,DOG_TNR,2900
766,Lanae,CT_SR_RPT,37600
767,Shel,ACC_EXEC,70200
768,June,NUR_PTNR,149000
769,Susette,SM,54900
770,Hermione,DEC,88100
771,Ayn,NUR_PTNR,76700
772,Dale,NUR_PTNR,60100
773,Beverley,MKT_MGR,41300
774,Catharine,NUR_PTNR,24100
775,Melisent,LBRN,46600
776,Wendi,CT_SR_RPT,273000
777,Ernesta,DEC,225000
778,Wilma,PM,304000
779,Hannis,ACC_EXEC,197000
780,Kial,NUR_ASST,225000
781,Kate,MKT_MGR,41300
782,Kirstin,WEB_DSNR,116000
783,Clarice,MKG_CDR,91200
784,Bertine,NUR_PTNR,116000
785,Fredericka,MKG_CDR,60100
786,Britte,NUR_PTNR,88100
787,Danny,SM,273000
788,Correy,MED_ASST,91200
789,Shel,MKG_CDR,60100
790,Jan,NUR_PTNR,54900
791,Peri,MKG_CDR,37600
792,Demetris,NUR_PTNR,41300
793,Corina,ACC_EXEC,76700
794,Marika,ACC_EXEC,54900
795,Adore,WEB_DSNR,37600
796,Latisha,SWE,54900
797,Mary,PM,37600
798,Dacia,MKG_CDR,37600
799,Vinita,DOG_TNR,116000
800,Rori,POS,31500
801,Lelah,DEC,31500
802,Lorie,PM,197000
803,Imojean,SWE,225000
804,Shell,LBRN,91200
805,Andeee,MKT_MGR,197000
806,Kristan,CT_SR_RPT,31500
807,Berget,MED_ASST,24100
808,Sam,SM,69500
809,Jaclyn,POS,197000
810,Arlena,PM,91200
811,Rani,MKG_CDR,70200
812,Madalyn,CT_SR_RPT,24100
813,Concettina,DOG_TNR,31500
814,Constance,CT_SR_RPT,70200
815,Gusty,OFF_ASS,69500
816,Caressa,OFF_ASS,197000
817,Alie,NUR_PTNR,225000
818,Jere,OFF_ASS,70200
819,Tani,EXEC_ASST,116000
820,Hyacinthe,MKG_CDR,2900
821,Cyb,LBRN,225000
822,Susan,MKG_CDR,46600
823,Aryn,MED_ASST,60100
824,Sissy,OFF_ASS,54900
825,Elise,ACC_EXEC,37600
826,Kelly,WEB_DSNR,273000
827,Cindelyn,DEC,88100
828,Sean,PM,91200
829,Christian,EXEC_ASST,76700
830,Doralynne,EXEC_ASST,60100
831,Joane,CT_SR_RPT,2900
832,Stephanie,OFF_ASS,41300
833,Anestassia,MED_ASST,2900
834,Concettina,LBRN,41300
835,Hollie,DOG_TNR,54900
836,Beth,LBRN,24100
837,Lyssa,DOG_TNR,225000
838,Xylina,DEC,304000
839,Wendi,WEB_DSNR,41300
840,Babita,LBRN,37600
841,Mariann,NUR_ASST,31500
842,Olivette,NUR_ASST,41300
843,Nickie,WEB_DSNR,2900
844,Miquela,POS,197000
845,Alejandra,POS,88100
846,Vere,NUR_ASST,60100
847,Marylou,EXEC_ASST,2900
848,Dede,PM,197000
849,Nanete,DOG_TNR,41300
850,Albertina,PM,76700
851,Zsa Zsa,ADMIN_ASST,76700
852,Briney,CT_SR_RPT,31500
853,Abbie,DOG_TNR,197000
854,Stacey,DOG_TNR,2900
855,Carly,DOG_TNR,41300
856,Cecile,POS,37600
857,Gabi,EXEC_ASST,60100
858,Celisse,MKT_MGR,88100
859,Maye,DOG_TNR,273000
860,Anthia,LBRN,304000
861,Lucy,DOG_TNR,225000
862,Evita,POS,88100
863,Thalia,EXEC_ASST,197000
864,Justinn,PM,37600
865,Fred,NUR_ASST,88100
866,Laurene,DOG_TNR,69500
867,Carolina,MKG_CDR,37600
868,Karena,OFF_ASS,70200
869,Agnese,EXEC_ASST,60100
870,Joeann,MED_ASST,31500
871,Florie,DOG_TNR,197000
872,Vevay,ACC_EXEC,54900
873,Daune,PM,88100
874,Tani,CT_SR_RPT,54900
875,Cathyleen,CT_SR_RPT,149000
876,Ericka,LBRN,37600
877,Kirstin,POS,116000
878,Chandra,SM,304000
879,Kassey,SWE,60100
880,Deloria,PM,76700
881,Gloria,ADMIN_ASST,91200
882,Sarette,SWE,37600
883,Janenna,ADMIN_ASST,91200
884,Annice,WEB_DSNR,37600
885,Rhoda,MKG_CDR,70200
886,Cathie,MKG_CDR,116000
887,Cherilyn,DEC,76700
888,Desirae,ACC_EXEC,304000
889,Lexine,DEC,24100
890,Cristabel,ADMIN_ASST,225000
891,Merle,NUR_ASST,304000
892,Siana,POS,149000
893,Carolina,MKG_CDR,149000
894,Eve,NUR_PTNR,91200
895,Celene,LBRN,88100
896,Halette,SWE,60100
897,Priscilla,DOG_TNR,60100
898,Linet,DEC,91200
899,Melina,OFF_ASS,197000
900,Leona,DOG_TNR,41300
901,Rivalee,DEC,24100
902,Georgina,POS,60100
903,Hope,SM,37600
904,Natka,ACC_EXEC,2900
905,Jemie,DEC,24100
906,Edee,ADMIN_ASST,37600
907,Kittie,PM,69500
908,Joelly,MED_ASST,197000
909,Cathie,ADMIN_ASST,60100
910,Laurene,SWE,54900
911,Corly,POS,54900
912,Felice,SM,91200
913,Catharine,EXEC_ASST,273000
914,Deloria,DEC,31500
915,Leia,SWE,41300
916,Brandise,MKG_CDR,88100
917,Marika,ADMIN_ASST,225000
918,Rosaline,ADMIN_ASST,2900
919,Natka,SM,37600
920,Joleen,OFF_ASS,46600
921,Peri,SM,46600
922,Lacie,MKG_CDR,24100
923,Olivette,LBRN,60100
924,Linet,MKG_CDR,149000
